Date,Avg_Power,Max_Power,Min_Power,Avg_Voltage,Avg_Intensity,Alert_Count
2010-11-12,0.6532222222222223,2.794,0.242,240.12361111111113,2.75,0
2010-11-13,1.4102916666666667,5.02,0.236,239.32979166666667,5.949999999999999,1
2010-11-14,1.4099513888888888,4.824,0.226,239.30899305555556,6.0055555555555555,0
2010-11-15,1.221111111111111,5.74,0.226,239.53829861111112,5.153472222222223,5
2010-11-16,1.0436319444444444,3.41,0.226,241.23006944444444,4.375,0
2010-11-17,1.09425,4.884,0.226,241.48704861111113,4.617361111111111,0
2010-11-18,1.1443263888888888,4.526,0.224,241.01628472222222,4.863194444444444,0
2010-11-19,1.0938958333333333,4.072,0.22,240.0546875,4.5993055555555555,0
2010-11-20,1.5302708333333335,9.656,0.218,240.6170138888889,6.495833333333334,11
2010-11-21,0.6216458333333333,3.22,0.212,241.19427083333332,2.620833333333333,0
2010-11-22,1.3960347222222222,5.928,0.222,240.2498263888889,5.902777777777778,2
2010-11-23,1.1021319444444444,4.618,0.216,240.61802083333336,4.702083333333333,0
2010-11-24,1.231798611111111,4.78,0.218,240.0849305555556,5.179166666666666,0
2010-11-25,0.995763888888889,4.238,0.216,241.56770833333334,4.176388888888889,0
2010-11-26,1.1843650793650793,4.242,0.214,240.3083333333333,4.984126984126984,0
